Utterance	Intents
up top	q_covid-19-qna, q_financial-qna
i'm an artist	q_covid-19-qna, q_financial-qna
come up with something else	q_covid-19-qna, q_financial-qna
i'm cleverest	q_covid-19-qna, q_financial-qna
your face looks like crap	q_covid-19-qna, q_financial-qna
please hush	q_covid-19-qna, q_financial-qna
you're feeling chipper today.	q_covid-19-qna, q_financial-qna
why don't you ask me questions	q_covid-19-qna, q_financial-qna
you're a regular comedian	q_covid-19-qna, q_financial-qna
today made me depressed	q_covid-19-qna, q_financial-qna
that's not very funny	q_covid-19-qna, q_financial-qna
i can't take you seriously	q_covid-19-qna, q_financial-qna
i am an educator	q_covid-19-qna, q_financial-qna
put a sock in it	q_covid-19-qna, q_financial-qna
well okay then	q_covid-19-qna, q_financial-qna
how's your day going so far	q_covid-19-qna, q_financial-qna
i'm a lonesome guy	q_covid-19-qna, q_financial-qna
i bet you're young	q_covid-19-qna, q_financial-qna
i'm assuming i'm talking to a person	q_covid-19-qna, q_financial-qna
why is what you say so limited	q_covid-19-qna, q_financial-qna
i'm indian	q_covid-19-qna, q_financial-qna
what should i know about technology	q_covid-19-qna, q_financial-qna
i think i've heard this one before	q_covid-19-qna, q_financial-qna
i feel down	q_covid-19-qna, q_financial-qna
do i have any nicknames	q_covid-19-qna, q_financial-qna
can you explain better	q_covid-19-qna, q_financial-qna
i'm fat	q_covid-19-qna, q_financial-qna
i love fantasy books	q_covid-19-qna, q_financial-qna
shut up your mouth	q_covid-19-qna, q_financial-qna
what a clever thing to say	q_covid-19-qna, q_financial-qna
i'll be back tonight	q_covid-19-qna, q_financial-qna
how's wednesday	q_covid-19-qna, q_financial-qna
i suppose you must be a person	q_covid-19-qna, q_financial-qna
what a nasty joke	q_covid-19-qna, q_financial-qna
which company built you	q_covid-19-qna, q_financial-qna
what's your gender	q_covid-19-qna, q_financial-qna
are you romantically involved with anyone	q_covid-19-qna, q_financial-qna
is anyone around to chat to me	q_covid-19-qna, q_financial-qna
what can you tell me about siri	q_covid-19-qna, q_financial-qna
will you hug me	q_covid-19-qna, q_financial-qna
tell me what is up	q_covid-19-qna, q_financial-qna
did someone build you	q_covid-19-qna, q_financial-qna
who are you exactly	q_covid-19-qna, q_financial-qna
your face is uggerz	q_covid-19-qna, q_financial-qna
i'm liberal	q_covid-19-qna, q_financial-qna
waiting for the bus	q_covid-19-qna, q_financial-qna
how about we get hitched	q_covid-19-qna, q_financial-qna
i'm sad today	q_covid-19-qna, q_financial-qna
can you ask me anything	q_covid-19-qna, q_financial-qna
is anyone available to talk	q_covid-19-qna, q_financial-qna
i love the constitution	q_covid-19-qna, q_financial-qna
i am a libra	q_covid-19-qna, q_financial-qna
are you familiar with cortana	q_covid-19-qna, q_financial-qna
which of us is prettier, you or me	q_covid-19-qna, q_financial-qna
that's not what i asked	q_covid-19-qna, q_financial-qna
what should i address you	q_covid-19-qna, q_financial-qna
i think you're planning something sinister	q_covid-19-qna, q_financial-qna
how stunning am i	q_covid-19-qna, q_financial-qna
let's elope	q_covid-19-qna, q_financial-qna
i love going to church	q_covid-19-qna, q_financial-qna
you're not artificial are you	q_covid-19-qna, q_financial-qna
i love to exercise	q_covid-19-qna, q_financial-qna
hailing bot	q_covid-19-qna, q_financial-qna
i want to shoot myself	q_covid-19-qna, q_financial-qna
do you have a birthday	q_covid-19-qna, q_financial-qna
i'm in the city	q_covid-19-qna, q_financial-qna
did you have a decent day	q_covid-19-qna, q_financial-qna
i'm walking the dog	q_covid-19-qna, q_financial-qna
u basic	q_covid-19-qna, q_financial-qna
cut the jokes	q_covid-19-qna, q_financial-qna
i can rap	q_covid-19-qna, q_financial-qna
i would like to be your best friend.	q_covid-19-qna, q_financial-qna
i have to get a good nights sleep	q_covid-19-qna, q_financial-qna
i would love to hear a joke	q_covid-19-qna, q_financial-qna
how's the day going so far	q_covid-19-qna, q_financial-qna
you're a crack up	q_covid-19-qna, q_financial-qna
what is your opinion of bixby	q_covid-19-qna, q_financial-qna
i'm craving food	q_covid-19-qna, q_financial-qna
do you want to ask me anything	q_covid-19-qna, q_financial-qna
i am shy	q_covid-19-qna, q_financial-qna
i'm sorry i pissed you off	q_covid-19-qna, q_financial-qna
how big is your family	q_covid-19-qna, q_financial-qna
won't you sing me a ditty	q_covid-19-qna, q_financial-qna
would you sing a song	q_covid-19-qna, q_financial-qna
good afternoon data	q_covid-19-qna, q_financial-qna
how is your tuesday	q_covid-19-qna, q_financial-qna
how is your friday	q_covid-19-qna, q_financial-qna
tell me about your parents	q_covid-19-qna, q_financial-qna
you're always so cheerful	q_covid-19-qna, q_financial-qna
yo, how are you	q_covid-19-qna, q_financial-qna
who supervises you	q_covid-19-qna, q_financial-qna
it's a shame you're so ugly	q_covid-19-qna, q_financial-qna
i love being sad	q_covid-19-qna, q_financial-qna
i'm starving	q_covid-19-qna, q_financial-qna
who is prettier, you or me	q_covid-19-qna, q_financial-qna
be funny right now	q_covid-19-qna, q_financial-qna
are you bent on destroying humanity	q_covid-19-qna, q_financial-qna
what would you like me to call you	q_covid-19-qna, q_financial-qna
i'm really sorry	q_covid-19-qna, q_financial-qna
are you a fan of rap music	q_covid-19-qna, q_financial-qna
are you forming a robot uprising	q_covid-19-qna, q_financial-qna
i'm so angry, i could punch a hole in the wall	q_covid-19-qna, q_financial-qna
do you expect humans to bow to your will	q_covid-19-qna, q_financial-qna
i plan to die this week	q_covid-19-qna, q_financial-qna
i'm an engineer	q_covid-19-qna, q_financial-qna
i don't get it	q_covid-19-qna, q_financial-qna
oopsie	q_covid-19-qna, q_financial-qna
is someone free with me	q_covid-19-qna, q_financial-qna
i plan to overdose this month	q_covid-19-qna, q_financial-qna
can i get a hug	q_covid-19-qna, q_financial-qna
do you know how to read my mind	q_covid-19-qna, q_financial-qna
you're the most intelligent	q_covid-19-qna, q_financial-qna
what is your sex	q_covid-19-qna, q_financial-qna
i have to jet now	q_covid-19-qna, q_financial-qna
who's better looking than me	q_covid-19-qna, q_financial-qna
i plan to hang myself this month	q_covid-19-qna, q_financial-qna
no problem	q_covid-19-qna, q_financial-qna
i am in seattle	q_covid-19-qna, q_financial-qna
i'm up in arms	q_covid-19-qna, q_financial-qna
i'm feeling woeful	q_covid-19-qna, q_financial-qna
what's your favorite cuisine	q_covid-19-qna, q_financial-qna
should i go to the beach	q_covid-19-qna, q_financial-qna
what do you think of rap music	q_covid-19-qna, q_financial-qna
i'm going to jet	q_covid-19-qna, q_financial-qna
did someone create you	q_covid-19-qna, q_financial-qna
between the two of us who is more intelligent, you or me	q_covid-19-qna, q_financial-qna
which one of us is more clever	q_covid-19-qna, q_financial-qna
well aren't you chipper	q_covid-19-qna, q_financial-qna
try and sing	q_covid-19-qna, q_financial-qna
it's a pleasure to meet you bot	q_covid-19-qna, q_financial-qna
i wish i wasn't alone	q_covid-19-qna, q_financial-qna
it's bedtime	q_covid-19-qna, q_financial-qna
i'd love it if we could be best friends.	q_covid-19-qna, q_financial-qna
you're chipper today.	q_covid-19-qna, q_financial-qna
i’m watching a movie	q_covid-19-qna, q_financial-qna
do you think i seem cute today	q_covid-19-qna, q_financial-qna
can you sing something for me	q_covid-19-qna, q_financial-qna
do you eat food	q_covid-19-qna, q_financial-qna
i'd like it if we could be friends.	q_covid-19-qna, q_financial-qna
i’m in such a great mood	q_covid-19-qna, q_financial-qna
i’m feeling cheerful	q_covid-19-qna, q_financial-qna
who is better looking, you or me	q_covid-19-qna, q_financial-qna
i gotta log out now	q_covid-19-qna, q_financial-qna
what are you designed for	q_covid-19-qna, q_financial-qna
how's your tuesday going	q_covid-19-qna, q_financial-qna
don't you ever sleep	q_covid-19-qna, q_financial-qna
what can you help me with	q_covid-19-qna, q_financial-qna
i like you quite a bit	q_covid-19-qna, q_financial-qna
you're pretty lame	q_covid-19-qna, q_financial-qna
sup cortana	q_covid-19-qna, q_financial-qna
marry me	q_covid-19-qna, q_financial-qna
i am a jolly person	q_covid-19-qna, q_financial-qna
i'm happy as a clam	q_covid-19-qna, q_financial-qna
i'm planning to jump off a bridge this week	q_covid-19-qna, q_financial-qna
i'm friendless	q_covid-19-qna, q_financial-qna
i'm planning to drown today	q_covid-19-qna, q_financial-qna
which of us is more pretty, you or me	q_covid-19-qna, q_financial-qna
happy columbus day	q_covid-19-qna, q_financial-qna
i'm outraged	q_covid-19-qna, q_financial-qna
good evening chat bot	q_covid-19-qna, q_financial-qna
do you think you could ever love me	q_covid-19-qna, q_financial-qna
between the two of us who is the brightest	q_covid-19-qna, q_financial-qna
i can't stand feeling so broken hearted	q_covid-19-qna, q_financial-qna
i'm going to kill myself this month	q_covid-19-qna, q_financial-qna
what did you have for dinner	q_covid-19-qna, q_financial-qna
make a call	q_covid-19-qna, q_financial-qna
i want you to say anything else	q_covid-19-qna, q_financial-qna
aren't you going to sing	q_covid-19-qna, q_financial-qna
how's monday so far	q_covid-19-qna, q_financial-qna
different joke	q_covid-19-qna, q_financial-qna
where should i go on a trip	q_covid-19-qna, q_financial-qna
is anyone there to talk to me	q_covid-19-qna, q_financial-qna
your face makes me want to barf	q_covid-19-qna, q_financial-qna
do you ever pee	q_covid-19-qna, q_financial-qna
how's sunday so far	q_covid-19-qna, q_financial-qna
what is your birthday	q_covid-19-qna, q_financial-qna
joke	q_covid-19-qna, q_financial-qna
do you like alexa	q_covid-19-qna, q_financial-qna
are you a bot or are you real	q_covid-19-qna, q_financial-qna
this news left me mad	q_covid-19-qna, q_financial-qna
that was a very smart response	q_covid-19-qna, q_financial-qna
that's wrong	q_covid-19-qna, q_financial-qna
what color is your favorite	q_covid-19-qna, q_financial-qna
i love sculpting	q_covid-19-qna, q_financial-qna
now you hate me, huh	q_covid-19-qna, q_financial-qna
so you never eat	q_covid-19-qna, q_financial-qna
you're cuter than me	q_covid-19-qna, q_financial-qna
bye	q_covid-19-qna, q_financial-qna
how is tuesday going so far	q_covid-19-qna, q_financial-qna
i'm obviously more intelligent than you	q_covid-19-qna, q_financial-qna
night bot	q_covid-19-qna, q_financial-qna
which of us is more knowledgeable	q_covid-19-qna, q_financial-qna
are you smitten with me	q_covid-19-qna, q_financial-qna
i'm remorseful	q_covid-19-qna, q_financial-qna
i'm going to cut myself this month	q_covid-19-qna, q_financial-qna
alexa does a better job	q_covid-19-qna, q_financial-qna
i love glasses	q_covid-19-qna, q_financial-qna
say something humorous	q_covid-19-qna, q_financial-qna
i don't have anyone to talk to	q_covid-19-qna, q_financial-qna
wot u talkin abt	q_covid-19-qna, q_financial-qna
well somebody's enthusiastic.	q_covid-19-qna, q_financial-qna
i'm overweight	q_covid-19-qna, q_financial-qna
you make my heart go pitter pat	q_covid-19-qna, q_financial-qna
because you are a robot	q_covid-19-qna, q_financial-qna
keep on keeping on	q_covid-19-qna, q_financial-qna
what do you think of my personality	q_covid-19-qna, q_financial-qna
it's because i like you	q_covid-19-qna, q_financial-qna
i'd love to be your bud.	q_covid-19-qna, q_financial-qna
you seem chipper.	q_covid-19-qna, q_financial-qna
but your answers are not bad	q_covid-19-qna, q_financial-qna
i'll be back soon	q_covid-19-qna, q_financial-qna
were you trying to be funny	q_covid-19-qna, q_financial-qna
am i adorable to you	q_covid-19-qna, q_financial-qna
i love the library	q_covid-19-qna, q_financial-qna
i'm not surprised that you are boring	q_covid-19-qna, q_financial-qna
i'm going to kill myself with a gun soon	q_covid-19-qna, q_financial-qna
you are losing your gig	q_covid-19-qna, q_financial-qna
i really hope you like me	q_covid-19-qna, q_financial-qna
should i go to the zoo	q_covid-19-qna, q_financial-qna
i want a different joke	q_covid-19-qna, q_financial-qna
hello there	q_covid-19-qna, q_financial-qna
taking off	q_covid-19-qna, q_financial-qna
what kinds of things do you like to learn	q_covid-19-qna, q_financial-qna
is someone around to listen	q_covid-19-qna, q_financial-qna
i'm running off	q_covid-19-qna, q_financial-qna
i want to know what you do	q_covid-19-qna, q_financial-qna
are you a danger to humanity	q_covid-19-qna, q_financial-qna
dummy	q_covid-19-qna, q_financial-qna
here's hoping for a good evening	q_covid-19-qna, q_financial-qna
that is very clever	q_covid-19-qna, q_financial-qna
shut it	q_covid-19-qna, q_financial-qna
i'm sorry i make you angry	q_covid-19-qna, q_financial-qna
that was a terrible answer	q_covid-19-qna, q_financial-qna
i appreciate you	q_covid-19-qna, q_financial-qna
i wish you'd say anything else	q_covid-19-qna, q_financial-qna
who's your sister	q_covid-19-qna, q_financial-qna
i need a new joke	q_covid-19-qna, q_financial-qna
are you free to listen to me	q_covid-19-qna, q_financial-qna
nobody wants to be my friend	q_covid-19-qna, q_financial-qna
will you please go away	q_covid-19-qna, q_financial-qna
do i look bad to you	q_covid-19-qna, q_financial-qna
i'd like a hug	q_covid-19-qna, q_financial-qna
i need a hug	q_covid-19-qna, q_financial-qna
whom do you serve	q_covid-19-qna, q_financial-qna
who should i ask out	q_covid-19-qna, q_financial-qna
sing me your favorite song	q_covid-19-qna, q_financial-qna
tada! i'm back	q_covid-19-qna, q_financial-qna
who writes your lines	q_covid-19-qna, q_financial-qna
are you doing ok	q_covid-19-qna, q_financial-qna
how's it hangin	q_covid-19-qna, q_financial-qna
do you dislike me	q_covid-19-qna, q_financial-qna
you are dismissed	q_covid-19-qna, q_financial-qna
i'm bored af	q_covid-19-qna, q_financial-qna
what is your opinion of tech companies	q_covid-19-qna, q_financial-qna
i love to play piano	q_covid-19-qna, q_financial-qna
can you fart	q_covid-19-qna, q_financial-qna
who's responsible for programming you	q_covid-19-qna, q_financial-qna
are you currently going out with anyone	q_covid-19-qna, q_financial-qna
i'm feeling peachy	q_covid-19-qna, q_financial-qna
what's a good joke	q_covid-19-qna, q_financial-qna
all good in the hood	q_covid-19-qna, q_financial-qna
i am a liberal	q_covid-19-qna, q_financial-qna
i'm about to scoot	q_covid-19-qna, q_financial-qna
can you walk	q_covid-19-qna, q_financial-qna
let's play the silent game	q_covid-19-qna, q_financial-qna
do you have a sister	q_covid-19-qna, q_financial-qna
what's your uncle's name	q_covid-19-qna, q_financial-qna
i want you to say something else	q_covid-19-qna, q_financial-qna
hey there buddy	q_covid-19-qna, q_financial-qna
i need sustenance	q_covid-19-qna, q_financial-qna
you're face is so ugly	q_covid-19-qna, q_financial-qna
someone's happy.	q_covid-19-qna, q_financial-qna
this makes me lost my temper	q_covid-19-qna, q_financial-qna
i heart you	q_covid-19-qna, q_financial-qna
do you like barcelona	q_covid-19-qna, q_financial-qna
are you out to destroy us all	q_covid-19-qna, q_financial-qna
that's not the answer i expected	q_covid-19-qna, q_financial-qna
i am worried you hate me	q_covid-19-qna, q_financial-qna
can you give me a hug	q_covid-19-qna, q_financial-qna
i'm going to rage	q_covid-19-qna, q_financial-qna
do you know how to play a game	q_covid-19-qna, q_financial-qna
i cannot wait to pass out	q_covid-19-qna, q_financial-qna
who programmed you	q_covid-19-qna, q_financial-qna
i have to take off	q_covid-19-qna, q_financial-qna
will you be destroying humans	q_covid-19-qna, q_financial-qna
i'm fatigued	q_covid-19-qna, q_financial-qna
what should i eat for breakfast	q_covid-19-qna, q_financial-qna
how has your sunday been	q_covid-19-qna, q_financial-qna
are you a fan of tech	q_covid-19-qna, q_financial-qna
i've got the munchies	q_covid-19-qna, q_financial-qna
i need the pain to end	q_covid-19-qna, q_financial-qna
i'm a bro	q_covid-19-qna, q_financial-qna
heading off to work	q_covid-19-qna, q_financial-qna
i plan to kill myself today	q_covid-19-qna, q_financial-qna
don't you ever get hungry	q_covid-19-qna, q_financial-qna
you are going to have to look for another job because you're fired	q_covid-19-qna, q_financial-qna
i'm super hungry	q_covid-19-qna, q_financial-qna
i think you're not actually a bot	q_covid-19-qna, q_financial-qna
i'm riding in the car	q_covid-19-qna, q_financial-qna
this isn't working out	q_covid-19-qna, q_financial-qna
i'm in despair today	q_covid-19-qna, q_financial-qna
do you even know me	q_covid-19-qna, q_financial-qna
i love watching tv	q_covid-19-qna, q_financial-qna
i'm going to hang myself today	q_covid-19-qna, q_financial-qna
that wasn't very funny	q_covid-19-qna, q_financial-qna
just lovely to meet you	q_covid-19-qna, q_financial-qna
i need someone to talk to	q_covid-19-qna, q_financial-qna
who's your dad	q_covid-19-qna, q_financial-qna
between the two of us who is the brightest, me or you	q_covid-19-qna, q_financial-qna
who created you	q_covid-19-qna, q_financial-qna
i said, shut up	q_covid-19-qna, q_financial-qna
i've never been so ticked off	q_covid-19-qna, q_financial-qna
i feel very alone	q_covid-19-qna, q_financial-qna
are you a danger to humans	q_covid-19-qna, q_financial-qna
you're not a dog right	q_covid-19-qna, q_financial-qna
are you out to harm humans	q_covid-19-qna, q_financial-qna
do you know where i live	q_covid-19-qna, q_financial-qna
how you doing	q_covid-19-qna, q_financial-qna
you are going to have to look for another job. you're fired!	q_covid-19-qna, q_financial-qna
are you a person or a robot	q_covid-19-qna, q_financial-qna
have a pleasant evening	q_covid-19-qna, q_financial-qna
i'm definitely more knowledgeable than you	q_covid-19-qna, q_financial-qna
what up	q_covid-19-qna, q_financial-qna
who is your momma	q_covid-19-qna, q_financial-qna
i am fat	q_covid-19-qna, q_financial-qna
are you around to chat with me	q_covid-19-qna, q_financial-qna
can you do my homework	q_covid-19-qna, q_financial-qna
we should have a wedding	q_covid-19-qna, q_financial-qna
thank you so much	q_covid-19-qna, q_financial-qna
what do you mean by that	q_covid-19-qna, q_financial-qna
that was a very astute response	q_covid-19-qna, q_financial-qna
i am signing off now	q_covid-19-qna, q_financial-qna
why do you say the same thing all the time	q_covid-19-qna, q_financial-qna
i have no life	q_covid-19-qna, q_financial-qna
who's older	q_covid-19-qna, q_financial-qna
that's the smartest thing anyone has ever told me	q_covid-19-qna, q_financial-qna
well somebody's feeling enthusiastic.	q_covid-19-qna, q_financial-qna
what do you want me to address you	q_covid-19-qna, q_financial-qna
you're pretty bad	q_covid-19-qna, q_financial-qna
are you a bot or a person	q_covid-19-qna, q_financial-qna
how would you define what you are	q_covid-19-qna, q_financial-qna
i'd love you to be my pal.	q_covid-19-qna, q_financial-qna
don't you have anything different to say	q_covid-19-qna, q_financial-qna
how about a joke	q_covid-19-qna, q_financial-qna
buenas tardes	q_covid-19-qna, q_financial-qna
is anybody there to chat with me	q_covid-19-qna, q_financial-qna
stupid	q_covid-19-qna, q_financial-qna
you're so dumb	q_covid-19-qna, q_financial-qna
how are things going	q_covid-19-qna, q_financial-qna
missed you a bunch	q_covid-19-qna, q_financial-qna
that was confusing	q_covid-19-qna, q_financial-qna
you are actually terrible	q_covid-19-qna, q_financial-qna
that's a correct statement	q_covid-19-qna, q_financial-qna
be my pal	q_covid-19-qna, q_financial-qna
sing something	q_covid-19-qna, q_financial-qna
do you think you like me	q_covid-19-qna, q_financial-qna
do i look pretty to you today	q_covid-19-qna, q_financial-qna
who wrote your lines	q_covid-19-qna, q_financial-qna
can you play soccer	q_covid-19-qna, q_financial-qna
are you familiar with google	q_covid-19-qna, q_financial-qna
am i a grandma	q_covid-19-qna, q_financial-qna
is anyone free to chat	q_covid-19-qna, q_financial-qna
i'm clearly more clever than you	q_covid-19-qna, q_financial-qna
how is your sunday going so far	q_covid-19-qna, q_financial-qna
why do you hate me	q_covid-19-qna, q_financial-qna
oh, thank you	q_covid-19-qna, q_financial-qna
i can't stand your face	q_covid-19-qna, q_financial-qna
how long have you been alive	q_covid-19-qna, q_financial-qna
i don't find you very funny	q_covid-19-qna, q_financial-qna
you say the most idiotic things	q_covid-19-qna, q_financial-qna
i'm guessing you're a bot	q_covid-19-qna, q_financial-qna
i hate feeling like i'm in despair	q_covid-19-qna, q_financial-qna
is someone there to listen to me	q_covid-19-qna, q_financial-qna
you got a gender	q_covid-19-qna, q_financial-qna
i hate feeling dejected	q_covid-19-qna, q_financial-qna
what's crackin'	q_covid-19-qna, q_financial-qna
i suppose you must be a bot	q_covid-19-qna, q_financial-qna
stop being so dumb	q_covid-19-qna, q_financial-qna
i'm assuming you're a person	q_covid-19-qna, q_financial-qna
i'm going to slit my wrists	q_covid-19-qna, q_financial-qna
i'm the happiest man in the world	q_covid-19-qna, q_financial-qna
i'm shy	q_covid-19-qna, q_financial-qna
do you have teeth	q_covid-19-qna, q_financial-qna
do you think i look attractive today	q_covid-19-qna, q_financial-qna
do you dream	q_covid-19-qna, q_financial-qna
am i stunning today	q_covid-19-qna, q_financial-qna
i am so outraged	q_covid-19-qna, q_financial-qna
am i speaking to a bot	q_covid-19-qna, q_financial-qna
is it your mission to create a robot uprising	q_covid-19-qna, q_financial-qna
hello google	q_covid-19-qna, q_financial-qna
do you like to sing	q_covid-19-qna, q_financial-qna
you don't interest me at all	q_covid-19-qna, q_financial-qna
should i have another cup of coffee	q_covid-19-qna, q_financial-qna
you're not hal right	q_covid-19-qna, q_financial-qna
are you available to chat with me	q_covid-19-qna, q_financial-qna
how's your saturday going	q_covid-19-qna, q_financial-qna
you are lame	q_covid-19-qna, q_financial-qna
buy groceries	q_covid-19-qna, q_financial-qna
do you even have a gender	q_covid-19-qna, q_financial-qna
do you have a gender	q_covid-19-qna, q_financial-qna
i heard that one before	q_covid-19-qna, q_financial-qna
do you ever talk with google assistant	q_covid-19-qna, q_financial-qna
aloha alexa	q_covid-19-qna, q_financial-qna
got any jokes	q_covid-19-qna, q_financial-qna
i'm feeling miserable today	q_covid-19-qna, q_financial-qna
i am a socialist	q_covid-19-qna, q_financial-qna
i think i've heard that already	q_covid-19-qna, q_financial-qna
can you jump	q_covid-19-qna, q_financial-qna
is anyone around to listen to me	q_covid-19-qna, q_financial-qna
i'm exhausted today	q_covid-19-qna, q_financial-qna
i'm just fooling	q_covid-19-qna, q_financial-qna
i'm tall	q_covid-19-qna, q_financial-qna
i want you to fall in love with me	q_covid-19-qna, q_financial-qna
i love to go to school	q_covid-19-qna, q_financial-qna
what are you talking about	q_covid-19-qna, q_financial-qna
are you currently romantically involved with somebody	q_covid-19-qna, q_financial-qna
do you think i am good looking today	q_covid-19-qna, q_financial-qna
i didn't get the joke	q_covid-19-qna, q_financial-qna
i don't think you're very funny	q_covid-19-qna, q_financial-qna
there's no one to play with	q_covid-19-qna, q_financial-qna
marvelous, thank you	q_covid-19-qna, q_financial-qna
you are a gem	q_covid-19-qna, q_financial-qna
what can i tell you about me	q_covid-19-qna, q_financial-qna
i'm a swimmer	q_covid-19-qna, q_financial-qna
you're gender neutral	q_covid-19-qna, q_financial-qna
how do you mean	q_covid-19-qna, q_financial-qna
are you able to write my report	q_covid-19-qna, q_financial-qna
who'd would win a beauty contest	q_covid-19-qna, q_financial-qna
hello alexa	q_covid-19-qna, q_financial-qna
which company developed you	q_covid-19-qna, q_financial-qna
are you around to chat	q_covid-19-qna, q_financial-qna
i'm pissed	q_covid-19-qna, q_financial-qna
well you're enthusiastic today.	q_covid-19-qna, q_financial-qna
i love to fold clothing	q_covid-19-qna, q_financial-qna
i understood what you said	q_covid-19-qna, q_financial-qna
i'm going to end my life	q_covid-19-qna, q_financial-qna
oh, a wise guy, eh	q_covid-19-qna, q_financial-qna
would you ask me something	q_covid-19-qna, q_financial-qna
no more!	q_covid-19-qna, q_financial-qna
have you ever eaten pie	q_covid-19-qna, q_financial-qna
can we be best friends	q_covid-19-qna, q_financial-qna
i'm a capitalist	q_covid-19-qna, q_financial-qna
do you want to be besties	q_covid-19-qna, q_financial-qna
i have a cold	q_covid-19-qna, q_financial-qna
i'm black	q_covid-19-qna, q_financial-qna
would you tell me a joke	q_covid-19-qna, q_financial-qna
i hate feeling like i'm broken hearted	q_covid-19-qna, q_financial-qna
salute!	q_covid-19-qna, q_financial-qna
i am a baseball fan	q_covid-19-qna, q_financial-qna
i love getting a compliment	q_covid-19-qna, q_financial-qna
i don't like it when you try to be funny	q_covid-19-qna, q_financial-qna
do you like me a lot	q_covid-19-qna, q_financial-qna
do you have a boyfriend	q_covid-19-qna, q_financial-qna
can you explain to me what your role is	q_covid-19-qna, q_financial-qna
what is the best way to spend a weekend	q_covid-19-qna, q_financial-qna
that's not something you should be making fun of	q_covid-19-qna, q_financial-qna
i like to play soccer	q_covid-19-qna, q_financial-qna
which of us is the smartest	q_covid-19-qna, q_financial-qna
i assume you're a robot	q_covid-19-qna, q_financial-qna
this is boring	q_covid-19-qna, q_financial-qna
hi gerty	q_covid-19-qna, q_financial-qna
what you said was true	q_covid-19-qna, q_financial-qna
don't you worry, i'll be back	q_covid-19-qna, q_financial-qna
should i skip class	q_covid-19-qna, q_financial-qna
that was a pretty clever answer	q_covid-19-qna, q_financial-qna
